tokenAddress,from,tokenAmount,paycoinAmount
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xE2B4AD165eFdF776A33ce861B02b1feb110a6604,881512930619394747819,10701902370570860991171
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x4e244a11a2f30b3bF411276387f14EA37b38B135,248045469504106619336,3890210324780804882122
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x0063046686E46Dc6F15918b61AE2B121458534a5,24674028015302642531,46953479185086251246262
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x03ED71c8EAE7aE81469d4C78799b435F142dba5B,165989507897339468085684,19902568309285416710892
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x0063046686E46Dc6F15918b61AE2B121458534a5,241438825232481746318355,48853390827566301096710
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xC5DaFE845c35289D84EfbdC0484274300e8EdFE1,2378971579700570719,9436305402338510270150
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x989033E708AEeAb3658D448dcB7Cc330401a5c55,5070658403229154506,27651344095082780081899
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x33A4622B82D4c04a53e170c638B944ce27cffce3,9805101174823793359206,2839334564804546360918
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x9a1A3B806EF6C53291204a382Db4BD678A67C420,579087337863325508581,11364463260433252482680
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xBC23FCdbeCe908FC424Eb442b5d1AFb0D5993324,4402270949817416464,38702802046646737988403
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xB86340BD1c5F7dB534B703E5A44A974548892B38,1062400531899815085,12881785265256584413544
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x4e244a11a2f30b3bF411276387f14EA37b38B135,54531940454044224000,1279668472849254916595
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x193938a2bd57D7269A0323fe629a3bC6D955abe4,2162275695526076820,33119883174812045838804
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x0362C982AB697e34B10f0afc85Deb8572aAbB274,64729547548887741179705,21441104271985243888431
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0xD41C49B06e5FD3249bB8E8E6725b89246AD25d3f,3931211986824922863504,1476091093536179842170
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x1aaBD40A051821D8feFE050202a4D512275874c8,22456611135735905035269,8884569266534226048639
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x1CEE82EEd89Bd5Be5bf2507a92a755dcF1D8e8dc,0,0
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x51bA50df645da5729bB513fA3293459E50449092,168829799080030507,3084991064328980931255
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xcEaAea1f3e4b0f779dC05Ae13dd1110138F8c34d,964424383548182793,19256326692434594537285
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x6276b885379Fc54d16C0773f0e4F8b91D415A360,1224640596030535837,29836766464974967245464
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xD1340cA7C4f28c312f1115abbEf2956711c3f25b,545094573595443121702,15640904900129502780746
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x7B1e64e6E1116E802AF13c35D44644E22A410699,529039971766385550171,22719749470738626892826
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x3dc9E0a61a98821bd8bB2C5363aD8169B49CEb34,460120307489553675413,31240160286180037592184
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x7B1e64e6E1116E802AF13c35D44644E22A410699,302360200593801273,8533739128286940812379
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x71Fa541499771988c2B52F7a787F9C82Fc404522,1621342343144456048,56741119928602827109329
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0xe14b5aAE97178dd73f087F009DcBfd52b5F7961A,52465390297024717518769,24298040901988949697468
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x3dc9E0a61a98821bd8bB2C5363aD8169B49CEb34,383975583172453030,16968214617054251834960
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x4e244a11a2f30b3bF411276387f14EA37b38B135,540331239225346521982,280480122404070478613
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x689AF93DC9D4e6Da145Eff6398ae792fe4BaD8dD,26936866139433257213354,14915834612862984788228
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x8544890C7E7f21bF8b3FA7ec433b80df5CC04F4a,37986904687767128248693,24688805343439662740547
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x65a2d884472237288684cB04dbEE7f2C340a18A0,56467369201525460099473,47626288104222230832240
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xcEaAea1f3e4b0f779dC05Ae13dd1110138F8c34d,379766236224353426,18549380226170938152583
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xCc1ab890b74693115a725F74A0738869a784A1Cc,439153649115322320,24028105277376232361221
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x87Fe3884cCD5b27D8377770A296634110F87859a,204906073407039846,12303934529209026717225
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xe8A741dF8A82b63FBE0A89334b685deD11555EE2,843322658069062585,59845299566320840520232
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xd18E18B8b2E22cf2127915b7a6452290997A46A3,259041299683930646659,20754508073399927943785
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xe78cbEA4967C63199dA698Ac318bAcC56785b5da,221418351294729818589,23741532792341443241987
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xe14b5aAE97178dd73f087F009DcBfd52b5F7961A,140904862083780805,11748822033589085115598
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xceEfC04844a1B7b45fE86E5928390fDd0c0b180D,147015900405146120,12902702980040236966158
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xD1340cA7C4f28c312f1115abbEf2956711c3f25b,193191346735989005,18046804394494314653225
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x7Be7807E16233c7875E405C8eD7EdA4d595b477a,4020845352677073546206,4046197999282392487689
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xC89af34415eb512A276670d78f9679Fb8214202B,260836388284228105224,39601477025046578507805
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x9D4414D600E16975b501019B9131dBB033259cF5,322269353941339682,33231706110685153649580
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x582D13CedB408dA56e27b37E05711d1ade3B1047,34152135688171367355061,39068320962399881373225
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x1CEE82EEd89Bd5Be5bf2507a92a755dcF1D8e8dc,0,0
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x94334a4B65Bfb62c54B4c4b854Ee86f0fdDC6737,12807453568237301848535,17234938901595833055075
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x9172507e25bAF34C10cdBCeFC7625F87c1EFf8a4,137946745808583180291,29120330625424259911211
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xCc1ab890b74693115a725F74A0738869a784A1Cc,108125694813925573,5771022996290200491263
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x76Bb2D200b2292e27330593BBdeb5033729E1cDF,26158499645565536229556,40913920744418543364850
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xCc1ab890b74693115a725F74A0738869a784A1Cc,9476536630993780935,2676992605173426619087
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x65a2d884472237288684cB04dbEE7f2C340a18A0,2492715890579918855539,4368900418804496912846
