minter,buyer,value
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,100000000000000000000000
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x33A4622B82D4c04a53e170c638B944ce27cffce3,50000000000000000000000
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,100000000000000000000000
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x0063046686E46Dc6F15918b61AE2B121458534a5,50000000000000000000000
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,100000000000000000000000
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x21b42413bA931038f35e7A5224FaDb065d297Ba3,50000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xF4Ed726c3F10068914Db7B485e4b30E63D7EBaF1,57633000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0759bc565CFEd39Ef4098FfFA230f35D10B811c7,40300000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xf4B590898bcf0f5113068CD9Dd07aaee0f3B11D8,18354000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0362C982AB697e34B10f0afc85Deb8572aAbB274,31945000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xC73B2c54Df638a8C81f9c7Cb3e6074a08bfAe602,28869000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x09bd18b813b1bc6c066Da553D0c93E55a079Dc3a,58537000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x242F16Ed8f8E347013304672e3928a22624b33Dc,13424000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xCc1ab890b74693115a725F74A0738869a784A1Cc,33572000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x2D0377757C1fD6097B16Bcd5B83C2B7e05F8B84B,37648000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xBaa3bb6E00F9BB3d4FEc8aF8aaf35dfAFeC9fEce,8073000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x5Adb6008DEB5AE5103d4913Cf7aa041cB32dae8c,66540000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x76Bb2D200b2292e27330593BBdeb5033729E1cDF,60816000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xD41C49B06e5FD3249bB8E8E6725b89246AD25d3f,4480000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x03ED71c8EAE7aE81469d4C78799b435F142dba5B,60846000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x41f80C04512D90d9EF63472aAAd9B3AABA2F3A88,3030000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xde62AAb395765b45FbC14fcF3952176CD6816f27,66058000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x08A6018E022A33b4B794b0b30839bcE739696EbC,85419000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x689AF93DC9D4e6Da145Eff6398ae792fe4BaD8dD,50383000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x1Cc32A47cE9764b914C43f86895A2B3028c7f3C4,40470000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xceB278006D338BEe3132C9Eb0f5D37A2637FD78D,40119000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xb6B81d97314Cda2A06A381E6A5a25E305Fb42Fb3,5547000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xe78cbEA4967C63199dA698Ac318bAcC56785b5da,90599000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x989033E708AEeAb3658D448dcB7Cc330401a5c55,63949000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x5Ed1C7671B13cF1873FD94f22192f1880A3f57D8,90693000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x911951798c45F8F6c74DF1422B3ac4025831d98E,28803000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xD17220fC6813DE0E91e5ECAcCbf1b858e07d56FD,30944000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x9D4414D600E16975b501019B9131dBB033259cF5,53842000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x3d8C86a810d3E84a3194d278B921F4cDbe085Bc1,49256000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x5334142a596e53120233703F7c7AaB5AedB8e968,30375000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x5Cf9395d26f33beB3b0C707e9B90d146723803e7,53031000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x25a509da5DfBe06397dbfe5F82e97fbFB75C237B,74631000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x344B5C1213e561FB450Ca58E32D8b2b06a8eB548,11353000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x3dc9E0a61a98821bd8bB2C5363aD8169B49CEb34,75182000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xceEfC04844a1B7b45fE86E5928390fDd0c0b180D,53859000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x8354832142f5089dc4eDdacCcbb61740EC762275,68836000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x89c568F573C282f83F802F0685F878CD727d80bc,8225000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x9a1A3B806EF6C53291204a382Db4BD678A67C420,25342000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x1aaBD40A051821D8feFE050202a4D512275874c8,39240000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x4eeA6E28F723E30FcF88acf448FB63813E08549B,56240000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xb91fa2874F394ed50c0e150D77c9c186B9f15422,23261000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xA00b7e747aB00b27e2c9EB1b970e140bd2Cb68D4,67554000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x65a2d884472237288684cB04dbEE7f2C340a18A0,59925000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x93093D85f65ac30866E2Bf1F8F983B14D78e092C,8808000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xe8A741dF8A82b63FBE0A89334b685deD11555EE2,99178000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x7B1e64e6E1116E802AF13c35D44644E22A410699,36540000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x71Fa541499771988c2B52F7a787F9C82Fc404522,96507000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x41b19083452265c7B7d2324D615CDE5968B99379,45671000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xB07e53c6E90f7E5B272a7BCC8136899a6E1dAd31,3274000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0e55F689599e89b5F24F764DeB3408Fa1A2D816E,11103000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x1a20d10c5Af3Ec2D59522D1d868D4124a0B64153,87371000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x4e244a11a2f30b3bF411276387f14EA37b38B135,5560000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x1866bC5C04ab09aD08118AD134558d5d53163dDE,29868000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xcEaAea1f3e4b0f779dC05Ae13dd1110138F8c34d,65545000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x61BFBE91587C7315A01f4524b06Bf64Af64047F6,40998000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xC5DaFE845c35289D84EfbdC0484274300e8EdFE1,26005000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x87Fe3884cCD5b27D8377770A296634110F87859a,33494000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xC89af34415eb512A276670d78f9679Fb8214202B,63163000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xd32d78003cae40cca6E156cF49b3508A37404F73,68138000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xfA3dAD1FecF5C286DEB431c4B45BBED1116C25af,49551000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x7Be7807E16233c7875E405C8eD7EdA4d595b477a,11791000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xe14b5aAE97178dd73f087F009DcBfd52b5F7961A,41049000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x1cFe3dB0B28282B573dc4C5E2575452d5B936E0C,6106000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x49F07764389B0641C820C6bcB470E42cC89e92BA,68821000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x6276b885379Fc54d16C0773f0e4F8b91D415A360,37607000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x30fa36558A45Cb775a767BC1EA3F656899e20326,48241000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xb32C4CaB1E2e79FF6d1948d094bdE48c7a08B38c,43008000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xBC23FCdbeCe908FC424Eb442b5d1AFb0D5993324,65962000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xa5861Cd5435d4a7CcF06935fBe44ff180EDcD59b,39229000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xd6409E82D95eCC6cB3Bc65698824d1db8eDea9b6,4497000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xD82F5177a5F6886Ec9505bD9398Ae7a2ECF7aeD8,6217000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xB86340BD1c5F7dB534B703E5A44A974548892B38,31362000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x73c5d17b87A15b72FaE99Bd4Dba063e959792E7D,35074000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xc4a97b4b2b5f442C9f67a1BB5C330e8e9D4276c3,3783000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x2BEe4Fc82b4843A40E5a41329dd865e31CDE8492,60531000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x94334a4B65Bfb62c54B4c4b854Ee86f0fdDC6737,50330000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x5431F4e3F34374f0177C56B1418B659257b1524a,26440000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x193938a2bd57D7269A0323fe629a3bC6D955abe4,75315000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xA5783B6d849Af89134a9e22C0E617c3b150a05d3,52789000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xA5136B07b05905EEE6679f935B8E6A118ffAC926,6927000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x582D13CedB408dA56e27b37E05711d1ade3B1047,95536000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0193f140a705604132a85Bc1734dD32D025fACe3,42557000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x271dc1e9F66330E1a1dbc1F0F465184F56B71268,85936000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xD8D5003BD51EF5307F2268B27e18dCEBeff77998,44786000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x260013180219B4B69212d0377E1e309749DD6ef5,71567000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xE2B4AD165eFdF776A33ce861B02b1feb110a6604,18556000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xB014cA81B58592BB19efc8232f1E3D047D5B1722,14113000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x8544890C7E7f21bF8b3FA7ec433b80df5CC04F4a,73767000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xD942a16F67fb9b0534FFa1D1FEc439Ae07510877,79341000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xd18E18B8b2E22cf2127915b7a6452290997A46A3,62291000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xB2e7101Ad42c630204a3C4677fc7A7F54102Bf10,23259000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x3Ad5bF58C6f9FdEca084C033830f3CA9e70E75D4,92957000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x9172507e25bAF34C10cdBCeFC7625F87c1EFf8a4,76138000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xE7dbe3372e690fd1D7870901d2781387d57ee0bC,83989000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x51bA50df645da5729bB513fA3293459E50449092,6850000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xE23c70B8A445C25E37D453208Ee75C4a0110D49e,43145000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x44827fEAE248795B60B243440BCf8FdEfAb68EFD,61516000000000000000000
