From,LDR Owner,QTC Owner,BOR Owner,TOT
LDR Owner,3639.099619290196,5243.727608202579,3346.621754299723,10917.29885787059
QTC Owner,8125.3254501466145,3731.184080555041,4540.570114207874,24375.97635043984
BOR Owner,8937.691542856088,2807.757066867263,668.8110652798632,26813.074628568265
Bot 1,898.2979004933454,851.2609130940556,1051.691810177669,2694.8937014800363
Bot 2,720.8186049935114,927.9856386859988,1133.9117265644204,2162.455814980534
Bot 3,337.8668100806119,317.4972179480857,140.53719391954482,1013.6004302418357
Bot 4,1701.6202794187257,3917.801309687779,3332.8314124455273,5104.860838256177
Bot 5,314.9754216176567,294.1032731828852,378.70711845109554,944.9262648529701
Bot 6,1311.198417276693,813.6813079517833,820.6530547826902,3933.5952518300787
Bot 7,151.35750430583204,147.18546518133914,181.25703270208217,454.0725129174961
Bot 8,1581.7984806925674,1350.036779079412,1874.0651487355835,4745.395442077702
Bot 9,358.2404608823983,917.9721123124217,702.745755529223,1074.7213826471948
Bot 10,116.50064708761256,196.44151793664165,166.49447927081147,349.5019412628377
Bot 11,889.1703315956505,1057.3081435415056,1609.7771496897474,2667.5109947869514
Bot 12,1131.0033282564011,851.9040026811426,1313.0106767687396,3393.009984769203
Bot 13,580.5147429504954,725.6144833325945,742.902813397971,1741.544228851486
Bot 14,6415.78024028945,6752.603688858616,5513.4148560438625,19247.34072086835
Bot 15,47.653071200882415,60.169844741667,41.31363180948321,142.95921360264725
Bot 16,1182.1224587391466,1177.0757007853026,720.8030367116727,3546.36737621744
Bot 17,909.7075529434215,1566.7556661706744,724.363817078305,2729.1226588302648
Bot 18,1611.1667213558003,1328.398435841667,1801.9101563398553,4833.5001640674
Bot 19,362.6499850337695,356.56533082735774,316.81599516002757,1087.9499551013087
Bot 20,562.8615156905711,888.3946583547781,789.657389558062,1688.5845470717131
Bot 21,68.35693244898845,53.71087788059083,47.63348737720942,205.07079734696535
Bot 22,2682.167478671465,2925.3251072586613,2922.3233519995692,8046.502436014395
Bot 23,5559.768386114696,7615.240400443945,9432.330733902627,16679.30515834409
Bot 24,1232.4695487515605,637.1024165599148,624.9438215642202,3697.4086462546816
Bot 25,828.4907326004643,571.0913984395008,797.1154861425135,2485.4721978013927
Bot 26,1785.265518281523,1336.0545405402718,581.9824632700041,5355.796554844569
Bot 27,2650.455836887556,2254.558797145444,2578.092035075545,7951.367510662669
Bot 28,1147.0668216739039,922.1114618234562,869.4203911127117,3441.200465021712
Bot 29,816.2223967655414,866.9366731770776,714.5489704773097,2448.667190296624
Bot 30,3260.1728013293755,2293.522846251041,3734.5914582017326,9780.518403988126
Bot 31,1074.2676736704523,987.9718556777157,1745.6062028491185,3222.803021011357
Bot 32,465.6441163747638,405.1824078716719,230.55959664370872,1396.9323491242915
Bot 33,6880.192495984461,8416.057380887967,6529.73387723755,20640.577487953386
Bot 34,2286.042782451692,681.181282462824,1741.7964019202639,6858.128347355075
Bot 35,1254.5733912230457,1186.258621335223,1518.7648863796765,3763.7201736691372
Bot 36,134.9326351646554,73.69628589164486,67.91897637895096,404.7979054939662
Bot 37,2501.679261970679,3369.217540606439,2202.4919081907346,7505.037785912038
Bot 38,3140.169037456507,3083.6667819807,2898.1704008543866,9420.507112369522
Bot 39,805.9186993057165,1383.5918752264438,1299.191086123672,2417.7560979171494
Bot 40,1407.6000334284179,1879.819650513722,1947.7793968330434,4222.800100285253
Bot 41,1141.8046901607865,1179.0675343705057,1544.6035801272449,3425.4140704823603
Bot 42,1324.391388030973,1736.5013398204314,2271.9178980161146,3973.174164092919
Bot 43,225.9077521025288,204.2720371016977,194.49201407114518,677.7232563075864
Bot 44,2019.8512222212266,1894.3862084651516,3280.635844650025,6059.55366666368
Bot 45,3358.0712189988235,4307.529611273432,3795.76913642114,10074.21365699647
Bot 46,4957.398655912349,2815.1979124601967,4506.364915598134,14872.195967737047
Bot 47,1112.4821195600045,1382.8263404513505,1557.5396864774452,3337.4463586800134
Bot 48,59.20080464291318,71.7306782480438,110.96187308055956,177.60241392873954
Bot 49,76.9763317563118,116.5288091820937,119.36264060307076,230.92899526893538
Bot 50,736.9652856841685,572.0585349468683,849.6826275911469,2210.8958570525056
Bot 51,2077.5899002595074,2243.443985867157,2089.8176149695737,6232.769700778523
Bot 52,505.652186947796,1106.340982705316,574.5328225135407,1516.9565608433882
Bot 53,2393.416097494191,2359.2319254785407,1963.1726200961864,7180.248292482574
Bot 54,325.9086584077505,1026.0514306263692,969.1104031321871,977.7259752232517
Bot 55,2177.0713597818503,2974.8984135891446,1574.0298872965402,6531.21407934555
Bot 56,649.3254670479629,1253.2828047204493,1440.1493914761907,1947.9764011438886
Bot 57,2416.386480295093,2255.6297503365645,1863.0025056585025,7249.159440885279
Bot 58,1843.622346252268,2331.2557198334403,1978.921587648408,5530.8670387568045
Bot 59,654.47235547877,651.5765031261342,943.7474788139587,1963.41706643631
Bot 60,403.94657894813383,348.37538971118767,496.67037925428303,1211.8397368444014
Bot 61,755.9449609471656,1062.187968959357,1276.1052746164887,2267.834882841497
Bot 62,262.0377777999183,158.43431961469946,227.09540602320138,786.1133333997548
Bot 63,1329.030597095816,1063.8827042314635,621.5360256020451,3987.091791287448
Bot 64,1961.9756862692288,2120.6153608673703,1196.8758871568364,5885.927058807687
Bot 65,1811.6084201825524,1659.194046824887,1395.3072580155356,5434.825260547657
Bot 66,912.0747458139156,759.3785072255381,784.5756882101501,2736.2242374417465
Bot 67,5646.543569508741,2349.2995244497074,5648.13070059726,16939.630708526223
Bot 68,950.8682454908258,558.0659010126441,804.0158747107774,2852.6047364724773
Bot 69,73.72175893635942,62.803580492810596,38.08802121769426,221.1652768090783
Bot 70,173.20841288231387,129.42702070523984,140.74168117693105,519.6252386469416
Bot 71,2274.409856973358,2629.396842978062,1998.1969159022406,6823.229570920073
Bot 72,573.5010461867012,649.8065377792676,864.777241253561,1720.5031385601035
Bot 73,621.2144511527116,469.39070501162877,434.41419348764055,1863.643353458135
Bot 74,1523.6966397241533,1931.0367049994522,1066.3415841412452,4571.08991917246
Bot 75,466.11762573650077,694.4125357627634,481.2880792987672,1398.3528772095024
Bot 76,1465.0712190046866,2090.392414279962,1643.5053404040768,4395.213657014059
Bot 77,2221.156558915292,2933.6525340601984,3141.9720917385653,6663.469676745876
Bot 78,641.0370644229098,698.5866021291854,756.1273574619364,1923.1111932687293
Bot 79,370.7276393123468,240.39974840466726,209.54169179613112,1112.1829179370404
Bot 80,2614.3818340691923,2266.5980880441894,3795.0410493936233,7843.145502207577
Bot 81,753.1502054985783,615.8402228447391,759.4299089076591,2259.4506164957347
Bot 82,683.9085362945333,1379.7753838650985,1051.6194652426977,2051.7256088835998
Bot 83,345.7748880034926,212.07819053312986,316.60978792442063,1037.3246640104778
Bot 84,1681.4801917218485,1758.086688523821,1570.422896431609,5044.440575165546
Bot 85,5771.243574289652,8175.723487513315,6629.18227440154,17313.730722868953
Bot 86,79.23804250128454,184.26297116153265,200.86750236193444,237.7141275038536
Bot 87,2034.7679891412124,2483.9722449062515,2222.0209932349553,6104.303967423637
Bot 88,1028.7167790349997,1219.1401600505078,1000.4100621933468,3086.150337104999
Bot 89,1220.184938890699,2100.2569892254696,2871.6824015384336,3660.5548166720973
Bot 90,612.026121300429,813.3153412028176,760.9534349435019,1836.0783639012873
Bot 91,2923.3624492307913,3529.0707328465996,2330.9192252901166,8770.087347692373
Bot 92,2756.885660301765,3249.2996155694063,2154.131290326797,8270.656980905294
Bot 93,2196.637826840607,1351.9565366856964,2029.8429929861102,6589.91348052182
Bot 94,182.9570827435097,133.63452121388562,156.14343287316112,548.871248230529
Bot 95,1855.1740687763852,1945.4944542331825,1916.4704575513913,5565.522206329155
Bot 96,949.0983711015638,973.8283176365303,511.31346763003006,2847.2951133046913
Bot 97,455.71001889781877,421.88213600495317,382.14941154225363,1367.1300566934563
Bot 98,761.2215324888074,1164.065251107135,1070.4480790460677,2283.664597466422
Bot 99,2430.1658693317536,2480.61464946693,1859.2910694863076,7290.497607995261
Bot 100,2033.3967363958616,2470.540177151844,2585.9584513183763,6100.1902091875845
